conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1885230735373873473,Fri Jan 31 07:36:47 +0000 2025,3211,Goal hidupku sekarang tuh cuma dua antara: - #KaburAjaDulu - dapet kerjaan remote dari luar negeri tapi tinggalnya di Indo Ngikut rencana Allah aja deh dikasihnya yang mana duluan,1885230735373873473,,,in,,50,25,759,https://x.com/txtdarisugab/status/1885230735373873473,227994853,txtdarisugab
1885126576725237962,Fri Jan 31 00:42:54 +0000 2025,4086,Gw gk setuju dgn #KaburAjaDulu. Tinggal di Indo itu aslinya enak krn apa2 murah iklimnya nyaman (gw pernah ke Italia pas summer dan winter panas sama dinginnya sama2 gk ngotak) dan tentunya deket keluarga. Better cari remote job yg dibayar pake US$. Come on guys this is 2025,1885126576725237962,,,in,,427,187,338,https://x.com/investorgabut/status/1885126576725237962,185523454,investorgabut
1884948192040808846,Thu Jan 30 12:54:04 +0000 2025,489,Loker #KaburAjaDulu ke 🇯🇵 untuk techbros/techsis Platform Engineer (Developer Experience) requirement singkat di bawah ini: 1. Punya pengalaman di DevEx diutamakan. 2. Punya pengalaman di Rust/TypeScript. 3. Pengalaman minimal 5-7 tahun dalam membangun produk. 4. Bisa,1884948192040808846,https://pbs.twimg.com/media/GiiteiobIAAYG8q.jpg,,in,"Busan, Republic of Korea",12,25,105,https://x.com/primawansatrio/status/1884948192040808846,104823513,primawansatrio
1884898035064279434,Thu Jan 30 09:34:45 +0000 2025,16763,Gw bikin subjektif rating untuk #KaburAjaDulu ke beberapa kota/negara terutama untuk tech companies. Tentu sangat subjektif berdasarkan pengalaman gw. Dan ini hasilnya. Visa chance itu lebih ke kemungkinan kita bisa kerja dengan legal di sana / perusahaan mau repot2 ngurus visa,1884898035064279434,https://pbs.twimg.com/media/GiiAQ7WWkAAfn6T.jpg,,in,"Berlin, Germany",526,225,3481,https://x.com/SumitroYoel/status/1884898035064279434,1214199801576714240,SumitroYoel
1883109914068898062,Sat Jan 25 11:09:24 +0000 2025,13640,Buat yang mau #KaburAjaDulu via jalur studi secara spesifik mau ambil S2 di Inggris dan gak mau pake beasiswa yang terikat seperti LPDP &amp; Chevening. Kampus gw (University of Leeds) di 2025 ini provide 500 slot beasiswa untuk international students kuliah S2 di Leeds. Tahun,1883109914068898062,https://pbs.twimg.com/media/GiImR10WEAAkzim.jpg,,in,"Leeds, West Yorkshire",235,88,2049,https://x.com/rocaf0rt/status/1883109914068898062,735713989775106048,rocaf0rt
1882830632126190076,Fri Jan 24 16:39:38 +0000 2025,197,AKHIRNYA BISA CABUT BENERAN DARI INDO TAHUN INI HAHAHA #KaburAjaDulu,1882830632126190076,https://pbs.twimg.com/media/GiEoenga4AAUQ2l.jpg,,in,Jakarta Capital Region,2,31,15,https://x.com/ggwellpray/status/1882830632126190076,825004369,ggwellpray
1880153027354771527,Fri Jan 17 07:19:47 +0000 2025,987,#KaburAjaDulu 14 tahun lalu dan ternyata masalah makanan banyak solusinya. Bebas polusi kesetaraan politicians anti korupsi ga pake patwal air minum langsung dari keran ga ada WAG kerjaan bisa liat aurora dan midnight sun. Yap masih belum pengen nukar semua hal baik ini,1880153027354771527,,,in,"Tromsø, Norway",26,30,204,https://x.com/rykarlsen/status/1880153027354771527,165094284,rykarlsen
1879983620817056240,Thu Jan 16 20:06:38 +0000 2025,471,Apakah mincot #KaburAjaDulu lewat jalur bule hunter? P! Info expat yang single and ready to mingle yang siap memboyong mincot ke negaranya! Sebuah ide liar karena makin pesimis dan depresif liat kelakuan pejabat publik di konoha ini.,1879983620817056240,,,in,Indonesia,29,41,98,https://x.com/hrdbacot/status/1879983620817056240,501800437,hrdbacot
1879976896550900095,Thu Jan 16 19:39:55 +0000 2025,480,Tidak jadi #KaburAjaDulu karena tidak bisa makan makanan Indonesia? sebenernya ini bisa kita atasi dengan belajar masak ingat memasak itu salah satu bentuk skill kehidupan buat survival bukan tanggung jawab gender Apalagi sekarang udah banyak tutorial memasak kalo masih,1879976896550900095,,,in,Indonesia,24,30,111,https://x.com/hrdbacot/status/1879976896550900095,501800437,hrdbacot
1879785896142324214,Thu Jan 16 07:00:57 +0000 2025,334,#KaburAjaDulu ini bisa lewat makanan. Belum maksimal Gastrodiplomacy kita tuh. Belum kyk Turki lewat Kebab Vietnam lewat Pho dsb Potensi dari Nasi Padang masih gede. Rawon Wedangan(?). nasi soto/goreng babat Jangan seblak pokoknya,1879785896142324214,,,in,Indonesia,6,27,103,https://x.com/hrdbacot/status/1879785896142324214,501800437,hrdbacot
